strategy_synthesis,strategy_implementation,datetime_execution,duration_execution,duration_synthesis,duration_implementation
Flow_AreaOptimized_high,Area_Explore,2024-12-16 21:59:17,0:06:05,0:00:49,0:05:08
Flow_AreaOptimized_high,Congestion_SSI_SpreadLogic_high,2024-12-16 22:05:22,0:05:49,0:00:50,0:04:52
Flow_AreaOptimized_high,Flow_Quick,2024-12-16 22:11:11,0:03:58,0:00:50,0:03:03
Flow_AreaOptimized_high,Performance_Explore,2024-12-16 22:15:09,0:05:49,0:00:55,0:04:47
Flow_AreaOptimized_high,Power_ExploreArea,2024-12-16 22:20:58,0:06:59,0:00:49,0:06:04
Flow_AreaOptimized_high,Vivado Implementation Defaults,2024-12-16 21:53:29,0:05:48,0:00:50,0:04:53
Flow_PerfOptimized_high,Area_Explore,2024-12-16 22:32:24,0:05:26,0:00:49,0:04:31
Flow_PerfOptimized_high,Congestion_SSI_SpreadLogic_high,2024-12-16 22:37:50,0:05:04,0:00:44,0:04:15
Flow_PerfOptimized_high,Flow_Quick,2024-12-16 22:42:54,0:04:21,0:00:54,0:03:20
Flow_PerfOptimized_high,Performance_Explore,2024-12-16 22:47:15,0:05:49,0:00:49,0:04:52
Flow_PerfOptimized_high,Power_ExploreArea,2024-12-16 22:53:04,0:06:51,0:00:50,0:05:53
Flow_PerfOptimized_high,Vivado Implementation Defaults,2024-12-16 22:27:57,0:04:27,0:00:39,0:03:43
Flow_PerfThresholdCarry,Area_Explore,2024-12-16 23:04:49,0:05:16,0:00:44,0:04:26
Flow_PerfThresholdCarry,Congestion_SSI_SpreadLogic_high,2024-12-16 23:10:05,0:05:13,0:00:44,0:04:21
Flow_PerfThresholdCarry,Flow_Quick,2024-12-16 23:15:18,0:03:31,0:00:44,0:02:42
Flow_PerfThresholdCarry,Performance_Explore,2024-12-16 23:18:49,0:04:48,0:00:44,0:03:58
Flow_PerfThresholdCarry,Power_ExploreArea,2024-12-16 23:23:38,0:05:43,0:00:43,0:04:55
Flow_PerfThresholdCarry,Vivado Implementation Defaults,2024-12-16 22:59:55,0:04:54,0:00:49,0:03:59
Flow_RuntimeOptimized,Area_Explore,2024-12-16 23:33:58,0:03:55,0:00:44,0:03:06
Flow_RuntimeOptimized,Congestion_SSI_SpreadLogic_high,2024-12-16 23:37:53,0:03:43,0:00:33,0:03:06
Flow_RuntimeOptimized,Flow_Quick,2024-12-16 23:41:37,0:02:37,0:00:34,0:02:00
Flow_RuntimeOptimized,Performance_Explore,2024-12-16 23:44:14,0:03:53,0:00:38,0:03:11
Flow_RuntimeOptimized,Power_ExploreArea,2024-12-16 23:48:07,0:04:29,0:00:33,0:03:52
Flow_RuntimeOptimized,Vivado Implementation Defaults,2024-12-16 23:29:21,0:04:37,0:00:44,0:03:48
Vivado Synthesis Defaults,Area_Explore,2024-12-16 21:26:28,0:05:13,0:00:50,0:04:19
Vivado Synthesis Defaults,Congestion_SSI_SpreadLogic_high,2024-12-16 21:31:42,0:05:20,0:00:44,0:04:30
Vivado Synthesis Defaults,Flow_Quick,2024-12-16 21:37:02,0:04:01,0:00:50,0:03:04
Vivado Synthesis Defaults,Performance_Explore,2024-12-16 21:41:03,0:05:22,0:00:44,0:04:31
Vivado Synthesis Defaults,Power_ExploreArea,2024-12-16 21:46:25,0:07:04,0:00:38,0:06:21
Vivado Synthesis Defaults,Vivado Implementation Defaults,2024-12-16 21:21:31,0:04:56,0:00:55,0:03:27
